model_id,family,oof_mae,oof_pearson,holdout_mae,holdout_pearson,n_train,n_test
Lasso|{'model__alpha': 0.001},linear,0.9912971386698652,0.9895031571040568,0.9570803092197547,0.9680944558334453,264,67
Ridge|{'model__alpha': 0.1},linear,0.9937957985340701,0.9894862528003159,0.9592139314433313,0.9679065496377789,264,67
Lasso|{'model__alpha': 0.01},linear,0.9985260533989736,0.989264131589584,0.9798534192492826,0.9676659300829378,264,67
"ElasticNet|{'model__alpha': 0.01, 'model__l1_ratio': 0.8}",linear,1.0109679875972362,0.9891117026507232,1.0146579985362898,0.9664892232466585,264,67
Ridge|{'model__alpha': 1.0},linear,1.004682007979383,0.9892474542123965,1.0168399099922683,0.9659150432151367,264,67
"ElasticNet|{'model__alpha': 0.01, 'model__l1_ratio': 0.5}",linear,1.0207494651488838,0.9890088083227989,1.0466548798359707,0.9652978061049632,264,67
"ElasticNet|{'model__alpha': 0.01, 'model__l1_ratio': 0.2}",linear,1.031290466379468,0.9888753755182339,1.0733904028872072,0.9639909905815914,264,67
Lasso|{'model__alpha': 0.1},linear,1.3154286119381153,0.98281828742118,1.2277465867402464,0.9600304989378611,264,67
Ridge|{'model__alpha': 10.0},linear,1.3171106415215839,0.9838023143203933,1.3083118514208678,0.9520923444050151,264,67
"ElasticNet|{'model__alpha': 0.1, 'model__l1_ratio': 0.8}",linear,1.3810964167692426,0.9817529209564078,1.319909346905959,0.9542861351286016,264,67
"ElasticNet|{'model__alpha': 0.1, 'model__l1_ratio': 0.5}",linear,1.4772957555276944,0.9792819057689999,1.4598093600066837,0.9434272963032996,264,67
"ElasticNet|{'model__alpha': 0.1, 'model__l1_ratio': 0.2}",linear,1.5348852498822272,0.97764970516535,1.5285224827603006,0.9382030675729067,264,67
"RandomForest|{'model__max_depth': None, 'model__min_samples_leaf': 1}",tree,0.9493891393097603,0.9866859307154641,0.8857886152570502,0.9726051107899849,264,67
"RandomForest|{'model__max_depth': 10, 'model__min_samples_leaf': 1}",tree,0.968748145199874,0.986163303313318,0.9097034969061576,0.9723602914738377,264,67
"HistGradientBoosting|{'model__learning_rate': 0.1, 'model__max_depth': None, 'model__l2_regularization': 0.1}",tree,1.4798401216509767,0.9571404569450181,1.031607433659083,0.9617545704425747,264,67
"HistGradientBoosting|{'model__learning_rate': 0.1, 'model__max_depth': None, 'model__l2_regularization': 0.0}",tree,1.4614812698739559,0.957707226844413,1.0465304066834422,0.9618458119362733,264,67
"HistGradientBoosting|{'model__learning_rate': 0.05, 'model__max_depth': None, 'model__l2_regularization': 0.1}",tree,1.6318780941335385,0.9335409803921426,1.0519410970476473,0.9627158327896501,264,67
"HistGradientBoosting|{'model__learning_rate': 0.05, 'model__max_depth': None, 'model__l2_regularization': 0.0}",tree,1.6319345628948045,0.9333021217438774,1.0679978468347255,0.9619382891736176,264,67
"HistGradientBoosting|{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__l2_regularization': 0.1}",tree,1.4009508097141015,0.9629360518908368,1.12882203270402,0.9604953175630313,264,67
"HistGradientBoosting|{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__l2_regularization': 0.0}",tree,1.4043863420115459,0.9624298487023326,1.1455201190219104,0.9600526688468372,264,67
"RandomForest|{'model__max_depth': None, 'model__min_samples_leaf': 3}",tree,1.5558479641409846,0.9301552423848555,1.2060365899797416,0.9653691735973872,264,67
"RandomForest|{'model__max_depth': 10, 'model__min_samples_leaf': 3}",tree,1.554789146405708,0.9302213294540195,1.2158975003328043,0.9651160349169386,264,67
"HistGradientBoosting|{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__l2_regularization': 0.0}",tree,1.6251111621483454,0.9374129659182177,1.258800909254921,0.9591549578253475,264,67
"HistGradientBoosting|{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__l2_regularization': 0.1}",tree,1.6186175387054493,0.9370366173766698,1.2603413311748362,0.9598541618110863,264,67
